"Company","API","sum_per_Well","Total_Months","P_per_Month"
"1776 ENERGY OPERATORS, LLC","42255332930000",129993,19,6841.73684210526
"1776 ENERGY OPERATORS, LLC","42255335790000",373091,12,31090.9166666667
"1776 ENERGY OPERATORS, LLC","42255336250000",129993,19,6841.73684210526
"1776 ENERGY OPERATORS, LLC","42255337150000",220210,38,5795
"1776 ENERGY OPERATORS, LLC","42255343190000",28464,2,14232
"1776 ENERGY OPERATORS, LLC","42493327710000",48541,11,4412.81818181818
"1776 ENERGY OPERATORS, LLC","42493327790000",42643,8,5330.375
"ABRAXAS PETROLEUM CORPORATION","42013343290000",68440,48,1425.83333333333
"ABRAXAS PETROLEUM CORPORATION","42013348120000",98661,18,5481.16666666667
"ABRAXAS PETROLEUM CORPORATION","42013349170000",169453,15,11296.8666666667
"ABRAXAS PETROLEUM CORPORATION","42013349300000",31996,13,2461.23076923077
"ABRAXAS PETROLEUM CORPORATION","42013349470000",34058,13,2619.84615384615
"ABRAXAS PETROLEUM CORPORATION","42013349780000",35091,7,5013
"ABRAXAS PETROLEUM CORPORATION","42013349980000",35091,7,5013
"ABRAXAS PETROLEUM CORPORATION","42013351120000",45202,4,11300.5
"ABRAXAS PETROLEUM CORPORATION","42123320140000",33,100,0.33
"ABRAXAS PETROLEUM CORPORATION","42123322070000",3013,59,51.0677966101695
"ABRAXAS PETROLEUM CORPORATION","42123323660000",112222,51,2200.43137254902
"ABRAXAS PETROLEUM CORPORATION","42285334510000",0,85,0
"ABRAXAS PETROLEUM CORPORATION","42311347260000",94013,42,2238.40476190476
"ABRAXAS PETROLEUM CORPORATION","42311351110000",81629,34,2400.85294117647
"ABRAXAS PETROLEUM CORPORATION","42311351400000",108520,33,3288.48484848485
"ABRAXAS PETROLEUM CORPORATION","42311351910000",86526,31,2791.16129032258
"ABRAXAS PETROLEUM CORPORATION","42311352140000",108520,33,3288.48484848485
"ABRAXAS PETROLEUM CORPORATION","42311352170000",83779,31,2702.54838709677
"ABRAXAS PETROLEUM CORPORATION","42311352510000",108520,33,3288.48484848485
"ABRAXAS PETROLEUM CORPORATION","42311353080000",123275,27,4565.74074074074
"ABRAXAS PETROLEUM CORPORATION","42311353730000",75677,27,2802.85185185185
"ABRAXAS PETROLEUM CORPORATION","42311353910000",76061,19,4003.21052631579
"ABRAXAS PETROLEUM CORPORATION","42311354320000",105168,24,4382
"ABRAXAS PETROLEUM CORPORATION","42311354350000",105168,24,4382
"ABRAXAS PETROLEUM CORPORATION","42311354930000",83779,31,2702.54838709677
"ABRAXAS PETROLEUM CORPORATION","42311355660000",123275,27,4565.74074074074
"ABRAXAS PETROLEUM CORPORATION","42311356640000",85392,16,5337
"ABRAXAS PETROLEUM CORPORATION","42311356650000",85392,16,5337
"ABRAXAS PETROLEUM CORPORATION","42311356810000",76061,19,4003.21052631579
"ABRAXAS PETROLEUM CORPORATION","42311357120000",76061,19,4003.21052631579
"ABRAXAS PETROLEUM CORPORATION","42311358180000",76027,10,7602.7
"ABRAXAS PETROLEUM CORPORATION","42311360880000",85392,16,5337
"ABRAXAS PETROLEUM CORPORATION","42311360890000",85392,16,5337
"ACOCK/ANAQUA OPERATING CO., LP","42013343020000",4667,63,74.0793650793651
"ACTIVA RESOURCES, LLC","42325017790000",0,55,0
"ACTIVA RESOURCES, LLC","42325302480000",0,9,0
"AKG OPERATING COMPANY","42051336290000",13987,82,170.573170731707
"AKG OPERATING COMPANY","42089326870000",31174,31,1005.61290322581
"ALAMO OPERATING COMPANY, L. C.","42127336970000",38376,60,639.6
"ALAMO OPERATING COMPANY, L. C.","42163335410000",5430,18,301.666666666667
"ALAMO OPERATING COMPANY, L. C.","42507327360000",11885,42,282.97619047619
"ANADARKO E&P COMPANY LP","42127334600000",210,74,2.83783783783784
"ANADARKO E&P COMPANY LP","42127336120000",140087,76,1843.25
"ANADARKO E&P COMPANY LP","42127336150000",61582,74,832.189189189189
"ANADARKO E&P COMPANY LP","42127336200000",45721,70,653.157142857143
"ANADARKO E&P COMPANY LP","42127336210000",96292,71,1356.22535211268
"ANADARKO E&P COMPANY LP","42127336240000",157640,72,2189.44444444444
"ANADARKO E&P COMPANY LP","42127336280000",39528,77,513.350649350649
"ANADARKO E&P COMPANY LP","42127336290000",97152,68,1428.70588235294
"ANADARKO E&P COMPANY LP","42127336330000",58201,64,909.390625
"ANADARKO E&P COMPANY LP","42127336340000",75575,69,1095.28985507246
"ANADARKO E&P COMPANY LP","42127336360000",53749,67,802.223880597015
"ANADARKO E&P COMPANY LP","42127336370000",78972,66,1196.54545454545
"ANADARKO E&P COMPANY LP","42127336430000",83413,63,1324.01587301587
"ANADARKO E&P COMPANY LP","42127336440000",190445,64,2975.703125
"ANADARKO E&P COMPANY LP","42127336460000",311853,65,4797.73846153846
"ANADARKO E&P COMPANY LP","42127336480000",56218,66,851.787878787879
"ANADARKO E&P COMPANY LP","42127336540000",166,60,2.76666666666667
"ANADARKO E&P COMPANY LP","42127336570000",46603,59,789.881355932203
"ANADARKO E&P COMPANY LP","42127336580000",91458,63,1451.71428571429
"ANADARKO E&P COMPANY LP","42127336600000",45406,65,698.553846153846
"ANADARKO E&P COMPANY LP","42127336610000",66855,61,1095.98360655738
"ANADARKO E&P COMPANY LP","42127336620000",112916,64,1764.3125
"ANADARKO E&P COMPANY LP","42127336640000",173989,64,2718.578125
"ANADARKO E&P COMPANY LP","42127336660000",133193,59,2257.50847457627
"ANADARKO E&P COMPANY LP","42127336670000",168802,64,2637.53125
"ANADARKO E&P COMPANY LP","42127336680000",142808,64,2231.375
"ANADARKO E&P COMPANY LP","42127336690000",134764,64,2105.6875
"ANADARKO E&P COMPANY LP","42127336700000",141434,58,2438.51724137931
"ANADARKO E&P COMPANY LP","42127336710000",130617,64,2040.890625
"ANADARKO E&P COMPANY LP","42127336720000",132252,64,2066.4375
"ANADARKO E&P COMPANY LP","42127336730000",43594,65,670.676923076923
"ANADARKO E&P COMPANY LP","42127336740000",219610,61,3600.16393442623
"ANADARKO E&P COMPANY LP","42127336770000",202080,59,3425.08474576271
"ANADARKO E&P COMPANY LP","42127336780000",132057,62,2129.95161290323
"ANADARKO E&P COMPANY LP","42127336790000",214561,64,3352.515625
"ANADARKO E&P COMPANY LP","42127336800000",316720,62,5108.38709677419
"ANADARKO E&P COMPANY LP","42127336810000",50630,60,843.833333333333
"ANADARKO E&P COMPANY LP","42127336820000",463,61,7.59016393442623
"ANADARKO E&P COMPANY LP","42127336840000",328230,59,5563.22033898305
"ANADARKO E&P COMPANY LP","42127336850000",99984,56,1785.42857142857
"ANADARKO E&P COMPANY LP","42127336860000",104512,67,1559.88059701493
"ANADARKO E&P COMPANY LP","42127336870000",143634,60,2393.9
"ANADARKO E&P COMPANY LP","42127336890000",187438,58,3231.68965517241
"ANADARKO E&P COMPANY LP","42127336900000",177109,60,2951.81666666667
"ANADARKO E&P COMPANY LP","42127336930000",136980,63,2174.28571428571
"ANADARKO E&P COMPANY LP","42127336940000",46603,59,789.881355932203
"ANADARKO E&P COMPANY LP","42127336950000",60756,58,1047.51724137931
"ANADARKO E&P COMPANY LP","42127336960000",144721,65,2226.47692307692
"ANADARKO E&P COMPANY LP","42127336990000",181317,65,2789.49230769231
"ANADARKO E&P COMPANY LP","42127337000000",206502,65,3176.95384615385
"ANADARKO E&P COMPANY LP","42127337050000",50630,60,843.833333333333
"ANADARKO E&P COMPANY LP","42127337060000",101116,62,1630.90322580645
"ANADARKO E&P COMPANY LP","42127337080000",206086,58,3553.20689655172
"ANADARKO E&P COMPANY LP","42127337090000",215583,58,3716.94827586207
"ANADARKO E&P COMPANY LP","42127337170000",270204,57,4740.42105263158
"ANADARKO E&P COMPANY LP","42127337180000",63673,5,12734.6
"ANADARKO E&P COMPANY LP","42127337190000",223354,57,3918.49122807018
"ANADARKO E&P COMPANY LP","42127337200000",75763,58,1306.25862068966
"ANADARKO E&P COMPANY LP","42127337210000",104500,58,1801.72413793103
"ANADARKO E&P COMPANY LP","42127337220000",89563,56,1599.33928571429
"ANADARKO E&P COMPANY LP","42127337230000",333693,58,5753.3275862069
"ANADARKO E&P COMPANY LP","42127337240000",133630,57,2344.38596491228
"ANADARKO E&P COMPANY LP","42127337250000",176296,57,3092.91228070175
"ANADARKO E&P COMPANY LP","42127337290000",38233,51,749.666666666667
"ANADARKO E&P COMPANY LP","42127337330000",120132,62,1937.61290322581
"ANADARKO E&P COMPANY LP","42127337350000",109517,62,1766.40322580645
"ANADARKO E&P COMPANY LP","42127337360000",106409,62,1716.27419354839
"ANADARKO E&P COMPANY LP","42127337400000",43594,65,670.676923076923
"ANADARKO E&P COMPANY LP","42127337490000",271296,56,4844.57142857143
"ANADARKO E&P COMPANY LP","42127337500000",76696,53,1447.09433962264
"ANADARKO E&P COMPANY LP","42127337530000",161735,55,2940.63636363636
"ANADARKO E&P COMPANY LP","42127337550000",147303,55,2678.23636363636
"ANADARKO E&P COMPANY LP","42127337560000",143611,53,2709.64150943396
"ANADARKO E&P COMPANY LP","42127337570000",150701,54,2790.75925925926
"ANADARKO E&P COMPANY LP","42127337590000",91458,63,1451.71428571429
"ANADARKO E&P COMPANY LP","42127337600000",172368,55,3133.96363636364
"ANADARKO E&P COMPANY LP","42127337610000",144817,56,2586.01785714286
"ANADARKO E&P COMPANY LP","42127337620000",142361,55,2588.38181818182
"ANADARKO E&P COMPANY LP","42127337630000",129758,55,2359.23636363636
"ANADARKO E&P COMPANY LP","42127337680000",248564,55,4519.34545454545
"ANADARKO E&P COMPANY LP","42127337690000",109784,52,2111.23076923077
"ANADARKO E&P COMPANY LP","42127337700000",104243,54,1930.42592592593
"ANADARKO E&P COMPANY LP","42127337710000",99925,52,1921.63461538462
"ANADARKO E&P COMPANY LP","42127337720000",178715,54,3309.53703703704
"ANADARKO E&P COMPANY LP","42127337730000",231925,54,4294.90740740741
"ANADARKO E&P COMPANY LP","42127337770000",143121,53,2700.39622641509
"ANADARKO E&P COMPANY LP","42127337780000",130948,52,2518.23076923077
"ANADARKO E&P COMPANY LP","42127337790000",89464,52,1720.46153846154
"ANADARKO E&P COMPANY LP","42127337800000",98850,51,1938.23529411765
"ANADARKO E&P COMPANY LP","42127337810000",111901,49,2283.69387755102
"ANADARKO E&P COMPANY LP","42127337820000",91175,50,1823.5
"ANADARKO E&P COMPANY LP","42127337830000",138400,53,2611.32075471698
"ANADARKO E&P COMPANY LP","42127337840000",119723,54,2217.09259259259
"ANADARKO E&P COMPANY LP","42127337850000",128959,53,2433.18867924528
"ANADARKO E&P COMPANY LP","42127337860000",46603,59,789.881355932203
"ANADARKO E&P COMPANY LP","42127337900000",78311,54,1450.2037037037
"ANADARKO E&P COMPANY LP","42127337910000",123866,50,2477.32
"ANADARKO E&P COMPANY LP","42127337920000",98000,50,1960
"ANADARKO E&P COMPANY LP","42127338010000",90185,54,1670.09259259259
"ANADARKO E&P COMPANY LP","42127338040000",126845,54,2348.98148148148
"ANADARKO E&P COMPANY LP","42127338050000",144204,54,2670.44444444444
"ANADARKO E&P COMPANY LP","42127338060000",156420,54,2896.66666666667
"ANADARKO E&P COMPANY LP","42127338090000",43598,65,670.738461538462
"ANADARKO E&P COMPANY LP","42127338190000",66855,61,1095.98360655738
"ANADARKO E&P COMPANY LP","42127338250000",36633,46,796.369565217391
"ANADARKO E&P COMPANY LP","42127338260000",98437,50,1968.74
"ANADARKO E&P COMPANY LP","42127338270000",45406,65,698.553846153846
"ANADARKO E&P COMPANY LP","42127338280000",45406,65,698.553846153846
"ANADARKO E&P COMPANY LP","42127338290000",124707,51,2445.23529411765
"ANADARKO E&P COMPANY LP","42127338330000",71812,48,1496.08333333333
"ANADARKO E&P COMPANY LP","42127338340000",56704,47,1206.46808510638
"ANADARKO E&P COMPANY LP","42127338350000",82739,50,1654.78
"ANADARKO E&P COMPANY LP","42127338370000",86487,52,1663.21153846154
"ANADARKO E&P COMPANY LP","42127338380000",102629,52,1973.63461538462
"ANADARKO E&P COMPANY LP","42127338390000",106217,53,2004.09433962264
"ANADARKO E&P COMPANY LP","42127338450000",98831,53,1864.7358490566
"ANADARKO E&P COMPANY LP","42127338460000",202938,52,3902.65384615385
"ANADARKO E&P COMPANY LP","42127338470000",173754,53,3278.37735849057
"ANADARKO E&P COMPANY LP","42127338520000",157250,50,3145
"ANADARKO E&P COMPANY LP","42127338530000",201811,49,4118.59183673469
"ANADARKO E&P COMPANY LP","42127338540000",124611,50,2492.22
"ANADARKO E&P COMPANY LP","42127338550000",101027,52,1942.82692307692
"ANADARKO E&P COMPANY LP","42127338560000",103867,52,1997.44230769231
"ANADARKO E&P COMPANY LP","42127338570000",149413,52,2873.32692307692
"ANADARKO E&P COMPANY LP","42127338590000",158587,65,2439.8
"ANADARKO E&P COMPANY LP","42127338640000",131346,45,2918.8
"ANADARKO E&P COMPANY LP","42127338650000",121461,46,2640.45652173913
"ANADARKO E&P COMPANY LP","42127338660000",111202,51,2180.43137254902
"ANADARKO E&P COMPANY LP","42127338710000",122104,51,2394.19607843137
"ANADARKO E&P COMPANY LP","42127338720000",89162,51,1748.27450980392
"ANADARKO E&P COMPANY LP","42127338740000",108112,44,2457.09090909091
"ANADARKO E&P COMPANY LP","42127338750000",110560,42,2632.38095238095
"ANADARKO E&P COMPANY LP","42127338760000",112673,40,2816.825
"ANADARKO E&P COMPANY LP","42127338780000",89934,61,1474.32786885246
"ANADARKO E&P COMPANY LP","42127338790000",148669,48,3097.27083333333
"ANADARKO E&P COMPANY LP","42127338800000",135682,48,2826.70833333333
"ANADARKO E&P COMPANY LP","42127338850000",107164,51,2101.25490196078
"ANADARKO E&P COMPANY LP","42127338890000",86748,45,1927.73333333333
"ANADARKO E&P COMPANY LP","42127338900000",95880,45,2130.66666666667
"ANADARKO E&P COMPANY LP","42127338910000",85282,46,1853.95652173913
"ANADARKO E&P COMPANY LP","42127338920000",131996,63,2095.1746031746
"ANADARKO E&P COMPANY LP","42127338930000",112004,47,2383.06382978723
"ANADARKO E&P COMPANY LP","42127338940000",150774,47,3207.95744680851
"ANADARKO E&P COMPANY LP","42127338950000",71623,44,1627.79545454545
"ANADARKO E&P COMPANY LP","42127339030000",54216,46,1178.60869565217
"ANADARKO E&P COMPANY LP","42127339040000",60422,46,1313.52173913043
"ANADARKO E&P COMPANY LP","42127339050000",62765,47,1335.42553191489
"ANADARKO E&P COMPANY LP","42127339090000",43594,65,670.676923076923
"ANADARKO E&P COMPANY LP","42127339100000",45074,32,1408.5625
"ANADARKO E&P COMPANY LP","42127339140000",42906,47,912.893617021277
"ANADARKO E&P COMPANY LP","42127339160000",50489,45,1121.97777777778
"ANADARKO E&P COMPANY LP","42127339300000",103343,48,2152.97916666667
"ANADARKO E&P COMPANY LP","42127339310000",108420,49,2212.65306122449
"ANADARKO E&P COMPANY LP","42127339320000",133001,48,2770.85416666667
"ANADARKO E&P COMPANY LP","42127339330000",96713,50,1934.26
"ANADARKO E&P COMPANY LP","42127339340000",109429,48,2279.77083333333
"ANADARKO E&P COMPANY LP","42127339350000",115860,49,2364.48979591837
"ANADARKO E&P COMPANY LP","42127339370000",76071,44,1728.88636363636
"ANADARKO E&P COMPANY LP","42127339380000",66039,41,1610.70731707317
"ANADARKO E&P COMPANY LP","42127339390000",89530,45,1989.55555555556
"ANADARKO E&P COMPANY LP","42127339470000",64732,43,1505.39534883721
"ANADARKO E&P COMPANY LP","42127339480000",86033,44,1955.29545454545
"ANADARKO E&P COMPANY LP","42127339490000",98655,44,2242.15909090909
"ANADARKO E&P COMPANY LP","42127339510000",88866,46,1931.86956521739
"ANADARKO E&P COMPANY LP","42127339520000",84964,45,1888.08888888889
"ANADARKO E&P COMPANY LP","42127339530000",104932,46,2281.13043478261
"ANADARKO E&P COMPANY LP","42127339640000",48637,29,1677.13793103448
"ANADARKO E&P COMPANY LP","42127339650000",39960,31,1289.03225806452
"ANADARKO E&P COMPANY LP","42127339680000",65448,44,1487.45454545455
"ANADARKO E&P COMPANY LP","42127339770000",166739,45,3705.31111111111
"ANADARKO E&P COMPANY LP","42127339780000",178997,45,3977.71111111111
"ANADARKO E&P COMPANY LP","42127339790000",135766,45,3017.02222222222
"ANADARKO E&P COMPANY LP","42127339840000",101852,44,2314.81818181818
"ANADARKO E&P COMPANY LP","42127339850000",72727,43,1691.32558139535
"ANADARKO E&P COMPANY LP","42127339860000",76483,43,1778.67441860465
"ANADARKO E&P COMPANY LP","42127339900000",81243,27,3009
"ANADARKO E&P COMPANY LP","42127339910000",80233,49,1637.40816326531
"ANADARKO E&P COMPANY LP","42127339940000",44850,24,1868.75
"ANADARKO E&P COMPANY LP","42127339950000",140799,43,3274.39534883721
"ANADARKO E&P COMPANY LP","42127339990000",58149,37,1571.59459459459
"ANADARKO E&P COMPANY LP","42127340010000",139526,43,3244.79069767442
"ANADARKO E&P COMPANY LP","42127340950000",66141,41,1613.19512195122
"ANADARKO E&P COMPANY LP","42127340960000",77964,41,1901.56097560976
"ANADARKO E&P COMPANY LP","42127340980000",52719,47,1121.68085106383
"ANADARKO E&P COMPANY LP","42127341040000",132424,48,2758.83333333333
"ANADARKO E&P COMPANY LP","42127341070000",75064,47,1597.10638297872
"ANADARKO E&P COMPANY LP","42127341130000",103326,44,2348.31818181818
"ANADARKO E&P COMPANY LP","42127341140000",79176,44,1799.45454545455
"ANADARKO E&P COMPANY LP","42127341150000",74673,45,1659.4
"ANADARKO E&P COMPANY LP","42127341160000",52855,47,1124.57446808511
"ANADARKO E&P COMPANY LP","42127341170000",71433,47,1519.85106382979
"ANADARKO E&P COMPANY LP","42127341180000",63670,47,1354.68085106383
"ANADARKO E&P COMPANY LP","42127341280000",102835,43,2391.51162790698
"ANADARKO E&P COMPANY LP","42127341290000",110087,42,2621.11904761905
"ANADARKO E&P COMPANY LP","42127341300000",71481,36,1985.58333333333
"ANADARKO E&P COMPANY LP","42127341330000",169560,45,3768
"ANADARKO E&P COMPANY LP","42127341340000",179789,45,3995.31111111111
"ANADARKO E&P COMPANY LP","42127341350000",231150,46,5025
"ANADARKO E&P COMPANY LP","42127341360000",126448,47,2690.3829787234
"ANADARKO E&P COMPANY LP","42127341370000",155024,46,3370.08695652174
"ANADARKO E&P COMPANY LP","42127341440000",46603,59,789.881355932203
"ANADARKO E&P COMPANY LP","42127341500000",66855,61,1095.98360655738
"ANADARKO E&P COMPANY LP","42127341510000",73287,39,1879.15384615385
"ANADARKO E&P COMPANY LP","42127341520000",45581,40,1139.525
"ANADARKO E&P COMPANY LP","42127341530000",53448,40,1336.2
"ANADARKO E&P COMPANY LP","42127341540000",0,7,0
"ANADARKO E&P COMPANY LP","42127341550000",94709,41,2309.9756097561
"ANADARKO E&P COMPANY LP","42127341560000",106671,38,2807.13157894737
"ANADARKO E&P COMPANY LP","42127341570000",89027,36,2472.97222222222
"ANADARKO E&P COMPANY LP","42127341580000",168445,47,3583.93617021277
"ANADARKO E&P COMPANY LP","42127341610000",30054,31,969.483870967742
"ANADARKO E&P COMPANY LP","42127341620000",44203,31,1425.90322580645
"ANADARKO E&P COMPANY LP","42127341660000",127708,44,2902.45454545455
"ANADARKO E&P COMPANY LP","42127341670000",53792,44,1222.54545454545
"ANADARKO E&P COMPANY LP","42127341690000",112053,44,2546.65909090909
"ANADARKO E&P COMPANY LP","42127341700000",77646,43,1805.72093023256
"ANADARKO E&P COMPANY LP","42127341710000",122389,41,2985.09756097561
"ANADARKO E&P COMPANY LP","42127341720000",116777,43,2715.74418604651
"ANADARKO E&P COMPANY LP","42127341740000",94249,43,2191.83720930233
"ANADARKO E&P COMPANY LP","42127341750000",98938,42,2355.66666666667
"ANADARKO E&P COMPANY LP","42127341760000",121045,44,2751.02272727273
"ANADARKO E&P COMPANY LP","42127341810000",106173,41,2589.58536585366
"ANADARKO E&P COMPANY LP","42127341820000",50384,41,1228.87804878049
"ANADARKO E&P COMPANY LP","42127341830000",45982,41,1121.51219512195
"ANADARKO E&P COMPANY LP","42127341840000",39028,40,975.7
"ANADARKO E&P COMPANY LP","42127341850000",44247,35,1264.2
"ANADARKO E&P COMPANY LP","42127341930000",71759,42,1708.54761904762
"ANADARKO E&P COMPANY LP","42127341940000",61263,42,1458.64285714286
"ANADARKO E&P COMPANY LP","42127341950000",70295,42,1673.69047619048
"ANADARKO E&P COMPANY LP","42127341960000",73270,42,1744.52380952381
"ANADARKO E&P COMPANY LP","42127342040000",41818,38,1100.47368421053
"ANADARKO E&P COMPANY LP","42127342060000",52076,41,1270.14634146341
"ANADARKO E&P COMPANY LP","42127342080000",69207,38,1821.23684210526
"ANADARKO E&P COMPANY LP","42127342090000",71573,44,1626.65909090909
"ANADARKO E&P COMPANY LP","42127342110000",32087,39,822.74358974359
"ANADARKO E&P COMPANY LP","42127342140000",34737,39,890.692307692308
"ANADARKO E&P COMPANY LP","42127342150000",35614,38,937.210526315789
"ANADARKO E&P COMPANY LP","42127342160000",66296,39,1699.89743589744
"ANADARKO E&P COMPANY LP","42127342170000",23685,37,640.135135135135
"ANADARKO E&P COMPANY LP","42127342180000",36759,37,993.486486486486
"ANADARKO E&P COMPANY LP","42127342210000",59453,41,1450.07317073171
"ANADARKO E&P COMPANY LP","42127342220000",33511,39,859.25641025641
"ANADARKO E&P COMPANY LP","42127342230000",70630,41,1722.68292682927
"ANADARKO E&P COMPANY LP","42127342260000",36829,42,876.880952380952
"ANADARKO E&P COMPANY LP","42127342280000",52171,41,1272.46341463415
"ANADARKO E&P COMPANY LP","42127342290000",48178,42,1147.09523809524
"ANADARKO E&P COMPANY LP","42127342300000",47861,38,1259.5
"ANADARKO E&P COMPANY LP","42127342310000",47956,39,1229.64102564103
"ANADARKO E&P COMPANY LP","42127342330000",206570,42,4918.33333333333
"ANADARKO E&P COMPANY LP","42127342340000",226805,42,5400.11904761905
"ANADARKO E&P COMPANY LP","42127342350000",190827,38,5021.76315789474
"ANADARKO E&P COMPANY LP","42127342490000",144857,43,3368.76744186047
"ANADARKO E&P COMPANY LP","42127342510000",141608,43,3293.20930232558
"ANADARKO E&P COMPANY LP","42127342520000",140906,43,3276.88372093023
"ANADARKO E&P COMPANY LP","42127342590000",92783,36,2577.30555555556
"ANADARKO E&P COMPANY LP","42127342600000",73616,37,1989.62162162162
"ANADARKO E&P COMPANY LP","42127342610000",96881,36,2691.13888888889
"ANADARKO E&P COMPANY LP","42127342640000",65559,37,1771.86486486486
"ANADARKO E&P COMPANY LP","42127342730000",76564,39,1963.17948717949
"ANADARKO E&P COMPANY LP","42127342740000",67288,40,1682.2
"ANADARKO E&P COMPANY LP","42127342750000",76352,42,1817.90476190476
"ANADARKO E&P COMPANY LP","42127342760000",74689,40,1867.225
"ANADARKO E&P COMPANY LP","42127343090000",48710,37,1316.48648648649
"ANADARKO E&P COMPANY LP","42127343100000",34266,36,951.833333333333
"ANADARKO E&P COMPANY LP","42127343110000",45588,36,1266.33333333333
"ANADARKO E&P COMPANY LP","42127343120000",46603,59,789.881355932203
"ANADARKO E&P COMPANY LP","42127343130000",66753,36,1854.25
"ANADARKO E&P COMPANY LP","42127343140000",174865,63,2775.63492063492
"ANADARKO E&P COMPANY LP","42127343150000",78663,40,1966.575
"ANADARKO E&P COMPANY LP","42127343160000",67421,39,1728.74358974359
"ANADARKO E&P COMPANY LP","42127343170000",50275,39,1289.10256410256
"ANADARKO E&P COMPANY LP","42127343180000",64352,40,1608.8
"ANADARKO E&P COMPANY LP","42127343190000",68152,41,1662.24390243902
"ANADARKO E&P COMPANY LP","42127343200000",54976,40,1374.4
"ANADARKO E&P COMPANY LP","42127343280000",142780,35,4079.42857142857
"ANADARKO E&P COMPANY LP","42127343290000",131842,34,3877.70588235294
"ANADARKO E&P COMPANY LP","42127343300000",141817,33,4297.48484848485
"ANADARKO E&P COMPANY LP","42127343310000",49570,36,1376.94444444444
"ANADARKO E&P COMPANY LP","42127343350000",61138,32,1910.5625
"ANADARKO E&P COMPANY LP","42127343370000",90318,32,2822.4375
"ANADARKO E&P COMPANY LP","42127343380000",33836,38,890.421052631579
"ANADARKO E&P COMPANY LP","42127343390000",64892,36,1802.55555555556
"ANADARKO E&P COMPANY LP","42127343400000",36563,36,1015.63888888889
"ANADARKO E&P COMPANY LP","42127343430000",24791,38,652.394736842105
"ANADARKO E&P COMPANY LP","42127343440000",26568,38,699.157894736842
"ANADARKO E&P COMPANY LP","42127343630000",59454,38,1564.57894736842
"ANADARKO E&P COMPANY LP","42127343640000",48488,38,1276
"ANADARKO E&P COMPANY LP","42127343650000",68444,38,1801.15789473684
"ANADARKO E&P COMPANY LP","42127343660000",49049,38,1290.76315789474
"ANADARKO E&P COMPANY LP","42127343670000",59887,38,1575.97368421053
"ANADARKO E&P COMPANY LP","42127343680000",65018,38,1711
"ANADARKO E&P COMPANY LP","42127343690000",167780,40,4194.5
"ANADARKO E&P COMPANY LP","42127343700000",112086,40,2802.15
"ANADARKO E&P COMPANY LP","42127343710000",107917,40,2697.925
"ANADARKO E&P COMPANY LP","42127343750000",27323,37,738.459459459459
"ANADARKO E&P COMPANY LP","42127343760000",65287,40,1632.175
"ANADARKO E&P COMPANY LP","42127343770000",47320,40,1183
"ANADARKO E&P COMPANY LP","42127343780000",52026,40,1300.65
"ANADARKO E&P COMPANY LP","42127343830000",86491,32,2702.84375
"ANADARKO E&P COMPANY LP","42127343840000",93717,34,2756.38235294118
"ANADARKO E&P COMPANY LP","42127343850000",67640,33,2049.69696969697
"ANADARKO E&P COMPANY LP","42127343860000",91609,33,2776.0303030303
"ANADARKO E&P COMPANY LP","42127343870000",55004,35,1571.54285714286
"ANADARKO E&P COMPANY LP","42127343880000",61666,38,1622.78947368421
"ANADARKO E&P COMPANY LP","42127343890000",42862,38,1127.94736842105
"ANADARKO E&P COMPANY LP","42127343900000",97254,38,2559.31578947368
"ANADARKO E&P COMPANY LP","42127343950000",57424,41,1400.58536585366
"ANADARKO E&P COMPANY LP","42127344020000",53825,39,1380.12820512821
"ANADARKO E&P COMPANY LP","42127344030000",81831,41,1995.87804878049
"ANADARKO E&P COMPANY LP","42127344080000",107224,38,2821.68421052632
"ANADARKO E&P COMPANY LP","42127344100000",105781,38,2783.71052631579
"ANADARKO E&P COMPANY LP","42127344250000",73280,34,2155.29411764706
"ANADARKO E&P COMPANY LP","42127344260000",73628,32,2300.875
"ANADARKO E&P COMPANY LP","42127344310000",80562,17,4738.94117647059
"ANADARKO E&P COMPANY LP","42127344320000",96674,35,2762.11428571429
"ANADARKO E&P COMPANY LP","42127344330000",70141,35,2004.02857142857
"ANADARKO E&P COMPANY LP","42127344340000",53472,35,1527.77142857143
"ANADARKO E&P COMPANY LP","42127344360000",75353,35,2152.94285714286
"ANADARKO E&P COMPANY LP","42127344390000",49962,35,1427.48571428571
"ANADARKO E&P COMPANY LP","42127344400000",82965,35,2370.42857142857
"ANADARKO E&P COMPANY LP","42127344410000",119718,36,3325.5
"ANADARKO E&P COMPANY LP","42127344420000",77191,36,2144.19444444444
"ANADARKO E&P COMPANY LP","42127344430000",91808,36,2550.22222222222
"ANADARKO E&P COMPANY LP","42127344440000",114173,36,3171.47222222222
"ANADARKO E&P COMPANY LP","42127344450000",82416,30,2747.2
"ANADARKO E&P COMPANY LP","42127344460000",101739,36,2826.08333333333
"ANADARKO E&P COMPANY LP","42127344470000",65122,30,2170.73333333333
"ANADARKO E&P COMPANY LP","42127344480000",83735,36,2325.97222222222
"ANADARKO E&P COMPANY LP","42127344490000",91458,63,1451.71428571429
"ANADARKO E&P COMPANY LP","42127344500000",61438,32,1919.9375
"ANADARKO E&P COMPANY LP","42127344510000",85854,31,2769.48387096774
"ANADARKO E&P COMPANY LP","42127344520000",63494,32,1984.1875
"ANADARKO E&P COMPANY LP","42127344530000",58279,39,1494.33333333333
